Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Materia,trymateria.ai,"Materia is a generative AI platform focused on enhancing productivity in the accounting sector. The company offers AI-driven solutions for accurate accounting answers, authoritative citations, workflow standardization, and efficient bulk response processing. Materia primarily serves the accounting industry, providing tools and services. It was founded in 2024 and is based in Brooklyn, New York.",,Seed VC,20/06/2024,6.33,"Association of International Certified Professional Accountants and CPA.com Startup Accelerator, Allen Institute for Artificial Intelligence, Exponential Founders Fund, Haystack, Spark Capital, Thomson Reuters Ventures",,6.3,,,,665,23/08/2024,United States,,,,,
LanceDB,lancedb.com,"LanceDB operates as a serverless vector database for artificial intelligence(AI) applications. The company build applications for generative artificial intelligence(AI), recsys, search engines, content moderation, and more. It was founded in 2022 and is based in San Francisco, California.",,Seed VC,15/05/2024,8.5,"Swift Ventures, Y Combinator, CRV, Essence VC Fund",,8,,,,604,23/08/2024,United States,,,,,
Rogo,rogo.ai,"Rogo is a company specializing in generative artificial intelligence (AI) for the financial services industry. Its main offerings include an enterprise AI platform designed to automate workflows, manage productivity, and facilitate data-driven decision-making for financial institutions. Rogo's platform is tailored to meet the specific needs of financial institutions, including investment banking, hedge funds, private equity, and asset management firms. It was founded in 2021 and is based in New York, New York.",,Series A,01/10/2024,25.5,"AlleyCorp, BoxGroup, Company Ventures, ScOp Venture Capital, Plug and Play Silicon Valley summit, Eric Schmidt, Jack Altman, Khosla Ventures, MANTIS Venture Capital",,18.5,,,,612,23/08/2024,United States,,,,,
SpatialGPT,spatialgpt.ai,"SpatialGPT specializes in the integration of Generative AI within various sectors, focusing on transforming spatial environments. The company offers solutions that enhance precision, reduce delays, and optimize costs for industries adopting technological practices. SpatialGPT primarily serves sectors such as construction, architecture, education, healthcare, and retail with its AI-driven solutions. It was founded in 2024 and is based in Melbourne, Australia.",,Seed,20/05/2024,3.4,InnovateGPT,,3.4,,,,600,23/08/2024,Australia,,,,,
Fairgen,fairgen.ai,"Fairgen specializes in generative AI for the research and insights industry, focusing on synthetic sample technology. The company offers solutions such as synthetic data augmentation to enhance survey responses and tools for detecting fraudulent survey data, improving the reliability and granularity of market research insights. Fairgen primarily serves research firms, insights teams, and other stakeholders in the research technology sector. It was founded in 2022 and is based in Tel Aviv, Israel.",,Seed VC,09/05/2024,5.5,"Creator Fund, IGNIA, Maverick Ventures Israel, TAL Ventures",,5.5,,,,637,23/08/2024,Israel,,,,,
Sapien,sapien.io,"Sapien specializes in data labeling services and the fine-tuning of large language models (LLMs) within the artificial intelligence and machine learning industry. The company offers scalable solutions for enhancing AI model performance through expert human feedback, customizable labeling models, and a suite of annotation services. Sapien serves a range of sectors, including EdTech, logistics, insurance, and finance, by providing tailored data labeling expertise and multilingual support. It was founded in 2023 and is based in San Francisco, California.",,Seed VC,10/04/2024,5,"Animoca Ventures, Primitive Ventures, Ravikant Capital, Yield Guild Games Ventures",,5,,,,614,23/08/2024,United States,,,,,
Caju AI,caju.ai,"Caju AI specializes in generative artificial intelligence within the customer engagement and workforce productivity sectors. The company offers a platform that enhances customer interactions, integrates with CRM systems, and provides enterprise-level insights and controls for businesses. Its solutions are designed to improve customer service, automate compliance, and boost sales force productivity. It was founded in 2023 and is based in Norfolk, Virginia.",,Convertible Note - II,05/06/2024,4.79,"Felton Group, Grotech Ventures, Jaffray Woodriff",,1.54,,,,735,23/08/2024,United States,,,,,
ChainML,chainml.net,"ChainML operates as an artificial intelligence research and development company. The company offers council analytics, a generative AI-powered platform that provides conversational analytics capabilities to software products through an application programming interface (API), and an open-source framework for production-grade AI agents. Its products are primarily utilized in the software applications sector, enhancing data interaction and analytics. The company was founded in 2022 and is based in San Francisco, California.",,Seed VC - III,13/05/2024,4.25,"HashKey, IOSG, SNZ Capital, Alliance, Figment Capital, Plug and Play Silicon Valley summit, Alumni Ventures, Antalpha Ventures, Bitscale Capital, Chainlink, Construct Ventures, Foresight Ventures, HTX Ventures, Hack VC, HashKey Capital, Hypersphere Ventures, Inception Capital, LongHash Ventures, Newtribe Capital, Stateless Ventures",,,,,,513,23/08/2024,United States,,,,,
DAFFODIL,daffodilhealth.com,"DAFFODIL focuses on transforming out-of-network claim processes in the healthcare sector using artificial intelligence and language model technologies. The company offers a software-as-a-service (SaaS) based claim repricing application that enables payors and third-party administrators (TPAs) to reprice healthcare claims in-house, using configurable rules and methodologies, and provides an LLM engine for explaining and justifying repricing to providers. Additionally, Daffodil develops a digital mental health platform for children with special needs, featuring a smart assistant to support parents. It was founded in 2020 and is based in Bangalore, India.",,Seed VC,16/05/2024,4.6,"NSRCEL - Maruti Suzuki Mobility Incubation Program, NSRCEL Indian Institute of Management Bangalore, Conquest Accelerator, Epic Ventures, Maverick Ventures",,4.6,,,,593,23/08/2024,India,,,,,
InSoundz,insoundz.com,"InSoundz focuses on generative AI audio enhancement within the technology sector. Its main offerings include transforming streamed or pre-recorded audio and video into sound by using AI signal processing to remove unwanted noise and enhance clarity. The company primarily serves content creators, learning and development platforms, and SaaS platforms. It was founded in 2016 and is based in Tel Aviv, Israel.",,Convertible Note,04/06/2024,5,"Microsoft ScaleUp, HBSE Ventures, ReInvent, TechNexus Venture Collaborative",,5,,,,519,23/08/2024,Israel,,,,,
Beam,beam.ai,"Beam is a leading platform in the agentic automation and AI agent development sector. The company specializes in creating AI agents that automate manual workflows, enhance productivity, and support teams in various business functions. Beam's AI agents are designed to be general-purpose problem solvers with human-like understanding, capable of planning and executing diverse workflows rapidly. It was founded in 2022 and is based in New York, New York.",,,,,,,,,,,576,19/09/2024,United States,,,,,
Orbo,orbo.ai,"Orbo specializes in artificial intelligence-powered beauty technology solutions for the beauty industry. The company offers a suite of products that enable virtual makeup try-ons, hair color simulations, and personalized hair styling, as well as tools for skin analysis and facial attribute enhancement to improve customer experience and engagement. Its solutions cater to brands, retailers, salons, electronic commerce platforms, developers, and agencies in the beauty sector. The company was founded in 2019 and is based in Mumbai, India.",,Incubator/Accelerator - II,17/09/2024,1.61,"A.J. Ventures, Harmeet Singh, Manmeet Singh, Founders Factory, John Ason, Refex Capital, Venture Catalysts, Vinod Dham, YourNest, Edison Accelerator, AWS Generative AI Accelerator",,,,,,464,26/09/2024,India,,,,,
